role;sex;age;education;exp;w_screen;h_screen;os;browser;lang;cpu;lan;gpu;template;size;layout;quality
0;1;27;1;2;1280;2560;0;3;1;8;2;0;1;1;0;1
4;0;45;1;1;720;1280;1;6;1;1;1;0;3;2;1;0
0;0;51;3;1;2560;720;1;5;0;4;10;0;1;1;1;1
0;1;23;0;2;720;1280;1;5;1;2;2;1;0;1;1;0
0;0;17;1;1;720;1280;1;5;0;4;2;0;0;1;1;1
1;0;29;3;2;3840;1920;2;6;1;8;10;1;0;1;1;2
0;0;65;1;0;3840;3840;2;6;0;4;2;1;0;2;1;2
4;0;60;1;0;3840;720;0;0;0;2;5;0;0;1;0;0
0;1;31;3;2;2560;2560;0;2;1;8;5;0;1;1;0;1
2;1;67;1;1;1920;1920;2;5;0;1;2;1;2;2;1;0
0;0;45;3;1;3840;1280;2;6;1;2;2;1;1;2;1;1
0;0;35;2;1;2560;1920;2;6;0;4;2;1;1;1;1;2
1;0;57;1;1;2560;3840;0;1;0;1;0.5;1;0;1;0;0
2;0;33;3;2;1280;720;1;6;1;8;10;0;2;1;1;1
2;0;61;2;0;3840;3840;1;5;1;2;10;1;0;1;1;0
2;1;29;3;2;2560;1280;2;6;0;2;1;0;2;1;1;1
4;0;31;1;1;2560;1280;1;5;0;4;2;0;3;1;1;1
0;0;65;2;0;720;1280;2;6;0;4;2;1;0;2;1;2
2;0;55;2;0;3840;2560;1;6;1;1;2;0;0;1;1;0
0;0;64;2;0;3840;2560;2;5;1;4;0.5;1;0;2;1;1
3;1;27;2;2;3840;1920;1;6;0;1;10;0;2;1;1;0
0;1;67;2;0;1920;3840;0;0;1;2;5;0;0;1;0;0
3;0;20;0;2;1920;3840;1;6;0;1;2;0;2;1;1;0
0;1;51;3;0;3840;720;2;6;0;2;2;0;0;2;1;1
0;1;23;1;2;720;1280;2;6;1;4;2;1;0;0;1;2
1;0;54;2;1;3840;2560;1;5;0;1;5;1;1;1;1;0
3;0;29;3;2;1280;2560;0;4;1;1;10;0;2;1;0;0
2;1;63;1;0;3840;1920;2;6;0;2;2;0;0;2;1;1
3;1;17;0;1;1280;2560;0;4;0;2;0.5;1;2;1;0;1
4;1;33;1;2;2560;1280;2;5;1;2;0.5;0;3;1;1;1
0;1;59;3;1;720;1280;2;5;0;4;2;1;1;2;1;2
0;0;21;1;2;1280;720;1;6;0;1;1;1;1;0;1;0
2;1;65;1;1;720;1280;1;5;0;4;0.5;1;2;2;1;1
0;1;31;2;1;1920;1280;0;0;0;8;0.5;1;1;1;0;1
0;0;43;3;1;2560;2560;0;0;1;2;2;1;1;1;0;0
1;0;41;1;2;1920;1920;0;3;1;4;5;1;1;1;0;1
0;0;43;1;2;720;1280;1;5;1;1;5;1;1;2;1;0
0;0;45;2;1;2560;720;0;2;1;8;0.5;1;1;1;0;1
0;0;33;2;1;720;1280;2;5;1;8;5;0;1;1;1;1
4;0;55;2;1;1280;1920;0;4;1;1;10;1;3;1;0;0
1;1;65;1;1;3840;1280;2;6;1;1;10;1;0;2;1;0
2;0;69;3;1;3840;1280;0;1;1;8;0.5;0;2;1;0;1
0;1;45;1;2;1920;2560;1;5;0;1;1;1;1;1;1;0
0;0;19;0;1;1280;720;0;0;1;2;10;0;1;1;0;0
4;1;37;1;1;1920;3840;2;6;1;4;10;1;3;1;1;2
0;1;49;2;1;2560;720;1;6;1;4;2;1;1;1;1;2
0;1;21;1;2;2560;3840;2;6;1;8;10;0;1;1;1;1
1;1;57;2;0;2560;3840;1;6;1;8;5;1;0;1;1;2
